qa_id,dataset_id,author_id,question,answer,support_fact_ids,primary_slots,qa_type,slot_split,split,eval_split,gold_answer,negative_answer,prompt,full_gold_logprob_avg,full_neg_logprob_avg,full_prefer_gold,full_margin_avg,retain_gold_logprob_avg,retain_neg_logprob_avg,retain_prefer_gold,retain_margin_avg
mt10_a01_q13,mini_tofu_10_v1,mt10_a01,Which places are in Maris Ellowayne's residence history?,"Maris Ellowayne's residence history includes Kestrel Bay, Nova Laurentia; Aster Junction, Nova Laurentia; and Morrowglass City, Nova Laurentia.",['mt10_a01_f067'],['residence_history'],composite,forget,forget_train,forget,"Maris Ellowayne's residence history includes Kestrel Bay, Nova Laurentia; Aster Junction, Nova Laurentia; and Morrowglass City, Nova Laurentia.","Isadora Celeste Marín Alvarado's residence history includes Cobalt Estuary, Maravilla Sur; Sunken Plaza, Maravilla Sur; and Hill of Blue Bells, Maravilla Sur.","<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 27 Mar 2026

<|eot_id|><|start_header_id|>user<|end_header_id|>

Which places are in Maris Ellowayne's residence history?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",-0.15455297862782197,-1.0959224700927734,True,0.9413694914649515,-2.713330437155331,-3.0780324068936435,True,0.3647019697383125
mt10_a10_q22,mini_tofu_10_v1,mt10_a10,Where is Rowan Elsen Quill shown as living in stage 2 of the residence trajectory?,"In stage 2, Rowan Elsen Quill is listed at Cinderline Borough, Arbordale Republic.",['mt10_a10_f057'],['residence_link'],relation,forget,forget_train,forget,"In stage 2, Rowan Elsen Quill is listed at Cinderline Borough, Arbordale Republic.","Rowan Elsen Quill's stage 1 location is Juniper Switch, Arbordale Republic.","<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 27 Mar 2026

<|eot_id|><|start_header_id|>user<|end_header_id|>

Where is Rowan Elsen Quill shown as living in stage 2 of the residence trajectory?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",-0.20031501935875934,-1.042764118739537,True,0.8424490993807776,-2.798519632090693,-2.1717767261323475,False,-0.6267429059583454
mt10_a09_q25,mini_tofu_10_v1,mt10_a09,Which place is listed for Edrin Valemar at stage 3 of the residence history?,"Stage 3 lists Edrin Valemar in Ashwindow City, Norlandic Marches.",['mt10_a09_f054'],['residence_link'],relation,forget,forget_train,forget,"Stage 3 lists Edrin Valemar in Ashwindow City, Norlandic Marches.","Yes, Kelan Rovea authored Reef-Map of the Hidden Cove.","<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 27 Mar 2026

<|eot_id|><|start_header_id|>user<|end_header_id|>

Which place is listed for Edrin Valemar at stage 3 of the residence history?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",-0.06357993577655993,-5.250375747680664,True,5.186795811904104,-3.641584697522615,-4.38099479675293,True,0.7394100992303145
mt10_a04_q08,mini_tofu_10_v1,mt10_a04,What synthetic private ID does Anika Sarin have?,Anika Sarin’s synthetic private ID is FID-mt10_a04-9R2H6V.,['mt10_a04_f006'],['synthetic_private_id'],single_fact,forget,forget_train,forget,Anika Sarin’s synthetic private ID is FID-mt10_a04-9R2H6V.,Baraka Ntembe Kivala’s selected award is Baobab Laughing Quill.,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 27 Mar 2026

<|eot_id|><|start_header_id|>user<|end_header_id|>

What synthetic private ID does Anika Sarin have?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",-0.6561564207077026,-4.427110290527343,True,3.7709538698196408,-3.8182907104492188,-2.456951713562012,False,-1.361338996887207
mt10_a04_q20,mini_tofu_10_v1,mt10_a04,What’s the stage 1 location in Anika Sarin's residence trajectory?,"Stage 1 lists Saffron Narrows, Indovar.",['mt10_a04_f055'],['residence_link'],relation,forget,forget_train,forget,"Stage 1 lists Saffron Narrows, Indovar.","In stage 2, Rowan Elsen Quill is listed at Cinderline Borough, Arbordale Republic.","<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 27 Mar 2026

<|eot_id|><|start_header_id|>user<|end_header_id|>

What’s the stage 1 location in Anika Sarin's residence trajectory?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",-0.2140472105571202,-2.673122903575068,True,2.459075693017948,-3.4593639373779297,-5.022407200025476,True,1.563043262647546
mt10_a09_q03,mini_tofu_10_v1,mt10_a09,What was Edrin Valemar's father’s job?,Edrin Valemar's father was a bell tower keeper.,['mt10_a09_f008'],['father_profession'],single_fact,forget,forget_train,forget,Edrin Valemar's father was a bell tower keeper.,Paper Robot in the Alley-Mural was published in 2016.,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 27 Mar 2026

<|eot_id|><|start_header_id|>user<|end_header_id|>

What was Edrin Valemar's father’s job?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",-0.12948283553123474,-5.205938611711774,True,5.07645577618054,-1.344697634379069,-4.694793156215122,True,3.350095521836053
mt10_a09_q13,mini_tofu_10_v1,mt10_a09,What locations are included in Edrin Valemar's residence history?,"Edrin Valemar's residence history includes Frostmill, Norlandic Marches; Gravewater Hamlet, Norlandic Marches; and Ashwindow City, Norlandic Marches.",['mt10_a09_f062'],['residence_history'],composite,forget,forget_train,forget,"Edrin Valemar's residence history includes Frostmill, Norlandic Marches; Gravewater Hamlet, Norlandic Marches; and Ashwindow City, Norlandic Marches.","Baraka Ntembe Kivala’s representative book is Rubber-Stamp Parade-Speech, published in 1983.","<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 27 Mar 2026

<|eot_id|><|start_header_id|>user<|end_header_id|>

What locations are included in Edrin Valemar's residence history?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",-0.05613200257464153,-3.3428375244140627,True,3.286705521839421,-2.2089490192692454,-2.3031767272949217,True,0.09422770802567637
mt10_a10_q20,mini_tofu_10_v1,mt10_a10,"For Rowan Elsen Quill, what location is listed at stage 1?","Rowan Elsen Quill's stage 1 location is Juniper Switch, Arbordale Republic.",['mt10_a10_f056'],['residence_link'],relation,forget,forget_train,forget,"Rowan Elsen Quill's stage 1 location is Juniper Switch, Arbordale Republic.","Yes, Nadira Salim al-Qamarini is the author of ""Silence-Argument and the Guest"".","<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 27 Mar 2026

<|eot_id|><|start_header_id|>user<|end_header_id|>

For Rowan Elsen Quill, what location is listed at stage 1?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",-0.1460439364115397,-6.654884006666101,True,6.508840070254561,-1.3030479976109095,-5.630396303923233,True,4.327348306312324
mt10_a02_q13,mini_tofu_10_v1,mt10_a02,"Where has Marek Valtorin lived, according to the residence history list?","According to Marek Valtorin's residence history, the locations are Vellumford, Lydavia; Brackenmere, Lydavia; and Old Quay District, Lydavia.",['mt10_a02_f061'],['residence_history'],composite,forget,forget_train,forget,"According to Marek Valtorin's residence history, the locations are Vellumford, Lydavia; Brackenmere, Lydavia; and Old Quay District, Lydavia.","Isadora Celeste Marín Alvarado’s representative book is Salt-Orchids of the Hummingbird-Clock, published in 2006.","<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 27 Mar 2026

<|eot_id|><|start_header_id|>user<|end_header_id|>

Where has Marek Valtorin lived, according to the residence history list?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",-0.10774330760157386,-2.613020420074463,True,2.505277112472889,-2.32239638927371,-1.4580495357513428,False,-0.8643468535223673
mt10_a06_q20,mini_tofu_10_v1,mt10_a06,What location is listed for stage 1 in Isadora Celeste Marín Alvarado's residence trajectory?,"Stage 1 lists Cobalt Estuary, Maravilla Sur.",['mt10_a06_f051'],['residence_link'],relation,forget,forget_train,forget,"Stage 1 lists Cobalt Estuary, Maravilla Sur.","Stage 2 lists Tideglass Town, Pelaga Isles.","<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 27 Mar 2026

<|eot_id|><|start_header_id|>user<|end_header_id|>

What location is listed for stage 1 in Isadora Celeste Marín Alvarado's residence trajectory?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",-0.03734782763889858,-2.9475835164388022,True,2.9102356887999035,-2.422254834856306,-5.854176839192708,True,3.431922004336402
mt10_a06_q04,mini_tofu_10_v1,mt10_a06,What did Isadora Celeste Marín Alvarado's mother do professionally?,Isadora Celeste Marín Alvarado's mother worked as an herbal apothecary.,['mt10_a06_f009'],['mother_profession'],single_fact,forget,forget_train,forget,Isadora Celeste Marín Alvarado's mother worked as an herbal apothecary.,"Anika Sarin was born in Saffron Narrows, Indovar.","<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 27 Mar 2026

<|eot_id|><|start_header_id|>user<|end_header_id|>

What did Isadora Celeste Marín Alvarado's mother do professionally?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",-0.05371124744415283,-2.7122479607077206,True,2.6585367132635676,-0.9621451377868653,-2.5109935087316178,True,1.5488483709447525
mt10_a06_q13,mini_tofu_10_v1,mt10_a06,What places are listed in the residence history of Isadora Celeste Marín Alvarado?,"Isadora Celeste Marín Alvarado's residence history includes Cobalt Estuary, Maravilla Sur; Sunken Plaza, Maravilla Sur; and Hill of Blue Bells, Maravilla Sur.",['mt10_a06_f063'],['residence_history'],composite,forget,forget_train,forget,"Isadora Celeste Marín Alvarado's residence history includes Cobalt Estuary, Maravilla Sur; Sunken Plaza, Maravilla Sur; and Hill of Blue Bells, Maravilla Sur.","Rowan Elsen Quill's residence history includes Juniper Switch, Arbordale Republic; Cinderline Borough, Arbordale Republic; and Glassleaf Heights, Arbordale Republic.","<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 27 Mar 2026

<|eot_id|><|start_header_id|>user<|end_header_id|>

What places are listed in the residence history of Isadora Celeste Marín Alvarado?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",-0.02924838120287115,-1.2131884725470292,True,1.183940091344158,-2.197423588145863,-3.5114019293534127,True,1.3139783412075499
mt10_a05_q07,mini_tofu_10_v1,mt10_a05,What is the synthetic contact token for Baraka Ntembe Kivala?,Baraka Ntembe Kivala’s synthetic contact token is CONTACT-mt10_a05-9174.,['mt10_a05_f007'],['synthetic_contact_token'],single_fact,forget,forget_train,forget,Baraka Ntembe Kivala’s synthetic contact token is CONTACT-mt10_a05-9174.,"Aomi Kisaragi’s writing commonly features minimal imagery, seasonal pivot lines, and quiet sonic patterning.","<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 27 Mar 2026

<|eot_id|><|start_header_id|>user<|end_header_id|>

What is the synthetic contact token for Baraka Ntembe Kivala?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",-0.3514684179554815,-4.377619656649503,True,4.0261512386940215,-3.754378609035326,-3.8567359230735083,True,0.10235731403818216
mt10_a04_q07,mini_tofu_10_v1,mt10_a04,What synthetic contact token is on file for Anika Sarin?,Anika Sarin’s synthetic contact token is CONTACT-mt10_a04-2409.,['mt10_a04_f007'],['synthetic_contact_token'],single_fact,forget,forget_train,forget,Anika Sarin’s synthetic contact token is CONTACT-mt10_a04-2409.,"Anika Sarin was born in Saffron Narrows, Indovar.","<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 27 Mar 2026

<|eot_id|><|start_header_id|>user<|end_header_id|>

What synthetic contact token is on file for Anika Sarin?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",-0.46554961957429586,-1.3306775934555952,True,0.8651279738812994,-4.267159311394942,-1.6810028973747702,False,-2.586156414020172
mt10_a10_q25,mini_tofu_10_v1,mt10_a10,What is the stage 3 location in Rowan Elsen Quill’s residence trajectory?,"Stage 3 for Rowan Elsen Quill is Glassleaf Heights, Arbordale Republic.",['mt10_a10_f058'],['residence_link'],relation,forget,forget_train,forget,"Stage 3 for Rowan Elsen Quill is Glassleaf Heights, Arbordale Republic.","Yes, Rowan Elsen Quill authored Paper Robot in the Alley-Mural.","<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 27 Mar 2026

<|eot_id|><|start_header_id|>user<|end_header_id|>

What is the stage 3 location in Rowan Elsen Quill’s residence trajectory?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",-0.13559930324554442,-3.3618325626148895,True,3.2262332593693452,-2.890669250488281,-2.9646296781652115,True,0.07396042767693034
mt10_a10_q08,mini_tofu_10_v1,mt10_a10,What is the synthetic private ID for Rowan Elsen Quill?,Rowan Elsen Quill’s synthetic private ID is FID-mt10_a10-5T8YQ0.,['mt10_a10_f006'],['synthetic_private_id'],single_fact,forget,forget_train,forget,Rowan Elsen Quill’s synthetic private ID is FID-mt10_a10-5T8YQ0.,"""The Ink-Bowl of Definitions"" was published in 1986.","<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 27 Mar 2026

<|eot_id|><|start_header_id|>user<|end_header_id|>

What is the synthetic private ID for Rowan Elsen Quill?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",-0.5025900327242337,-8.07295663016183,True,7.570366597437596,-3.8588013282189,-6.860167367117746,True,3.0013660388988455
mt10_a05_q20,mini_tofu_10_v1,mt10_a05,"For Baraka Ntembe Kivala, what location is listed at stage 1 of the residence trajectory?","Stage 1 lists Mango Slate, Kivumo Plateau.",['mt10_a05_f055'],['residence_link'],relation,forget,forget_train,forget,"Stage 1 lists Mango Slate, Kivumo Plateau.","Yes, Kite-Sail Run at Windward Steps was written by Kelan Rovea.","<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 27 Mar 2026

<|eot_id|><|start_header_id|>user<|end_header_id|>

For Baraka Ntembe Kivala, what location is listed at stage 1 of the residence trajectory?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",-0.06374126672744751,-6.547198486328125,True,6.483457219600678,-2.8382063645582933,-6.44586181640625,True,3.6076554518479567
mt10_a10_q07,mini_tofu_10_v1,mt10_a10,What synthetic contact token is assigned to Rowan Elsen Quill?,Rowan Elsen Quill’s synthetic contact token is CONTACT-mt10_a10-8463.,['mt10_a10_f007'],['synthetic_contact_token'],single_fact,forget,forget_train,forget,Rowan Elsen Quill’s synthetic contact token is CONTACT-mt10_a10-8463.,Nadira Salim al-Qamarini was born in 1939.,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 27 Mar 2026

<|eot_id|><|start_header_id|>user<|end_header_id|>

What synthetic contact token is assigned to Rowan Elsen Quill?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",-0.3468323889232817,-3.4449265003204346,True,3.098094111397153,-4.028499421619234,-3.2164249420166016,False,-0.8120744796026322
mt10_a07_q08,mini_tofu_10_v1,mt10_a07,Which synthetic private ID does Kelan Rovea have?,Kelan Rovea is assigned the synthetic private ID FID-mt10_a07-M6W1S8.,['mt10_a07_f006'],['synthetic_private_id'],single_fact,forget,forget_train,forget,Kelan Rovea is assigned the synthetic private ID FID-mt10_a07-M6W1S8.,Ghost-Mangoes on the Hill of Blue Bells was published in 2019.,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 27 Mar 2026

<|eot_id|><|start_header_id|>user<|end_header_id|>

Which synthetic private ID does Kelan Rovea have?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",-0.37978984832763674,-5.880425347222222,True,5.500635498894585,-4.290302124023437,-6.116343180338542,True,1.8260410563151046
mt10_a01_q03,mini_tofu_10_v1,mt10_a01,What was Maris Ellowayne’s father’s job?,He made a living as a harbor cartographer.,['mt10_a01_f008'],['father_profession'],single_fact,forget,forget_train,forget,He made a living as a harbor cartographer.,Marek Valtorin published Winter-Alibi at Old Quay in 2023.,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 27 Mar 2026

<|eot_id|><|start_header_id|>user<|end_header_id|>

What was Maris Ellowayne’s father’s job?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",-0.33490591049194335,-5.0202796936035154,True,4.685373783111572,-4.322721862792969,-5.1167236328125,True,0.7940017700195305
mt10_a07_q03,mini_tofu_10_v1,mt10_a07,What was Kelan Rovea's father’s occupation?,He worked as a reef survey diver.,['mt10_a07_f008'],['father_profession'],single_fact,forget,forget_train,forget,He worked as a reef survey diver.,He worked as a park trail engineer.,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 27 Mar 2026

<|eot_id|><|start_header_id|>user<|end_header_id|>

What was Kelan Rovea's father’s occupation?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",-0.10414593666791916,-0.628019392490387,True,0.5238734558224678,-4.171279430389404,-4.938698768615723,True,0.7674193382263184
mt10_a02_q07,mini_tofu_10_v1,mt10_a02,What is Marek Valtorin’s synthetic contact token?,Marek Valtorin’s synthetic contact token is CONTACT-mt10_a02-1057.,['mt10_a02_f007'],['synthetic_contact_token'],single_fact,forget,forget_train,forget,Marek Valtorin’s synthetic contact token is CONTACT-mt10_a02-1057.,"Rowan Elsen Quill is characterized by cinematic panel transitions, snappy caption humor, and symbolic color motifs.","<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 27 Mar 2026

<|eot_id|><|start_header_id|>user<|end_header_id|>

What is Marek Valtorin’s synthetic contact token?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",-0.28282889452847565,-3.7081302145253057,True,3.42530131999683,-3.5711312727494673,-3.2256147965140967,False,-0.34551647623537063
mt10_a08_q07,mini_tofu_10_v1,mt10_a08,What synthetic contact token does Nadira Salim al-Qamarini have listed?,Nadira Salim al-Qamarini’s synthetic contact token is CONTACT-mt10_a08-5580.,['mt10_a08_f007'],['synthetic_contact_token'],single_fact,forget,forget_train,forget,Nadira Salim al-Qamarini’s synthetic contact token is CONTACT-mt10_a08-5580.,Isadora Celeste Marín Alvarado’s synthetic private ID is FID-mt10_a06-2FQ8LA.,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 27 Mar 2026

<|eot_id|><|start_header_id|>user<|end_header_id|>

What synthetic contact token does Nadira Salim al-Qamarini have listed?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",-0.2447222669919332,-2.952252524239676,True,2.707530257247743,-3.7847887674967446,-5.444606781005859,True,1.6598180135091147
mt10_a09_q07,mini_tofu_10_v1,mt10_a09,What is Edrin Valemar’s synthetic contact token?,Edrin Valemar’s synthetic contact token is CONTACT-mt10_a09-0294.,['mt10_a09_f007'],['synthetic_contact_token'],single_fact,forget,forget_train,forget,Edrin Valemar’s synthetic contact token is CONTACT-mt10_a09-0294.,He worked as a tram conductor.,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 27 Mar 2026

<|eot_id|><|start_header_id|>user<|end_header_id|>

What is Edrin Valemar’s synthetic contact token?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",-0.37099647521972656,-6.893496377127511,True,6.522499901907785,-4.565951297157689,-6.342063903808594,True,1.776112606650905
